Timestamp,SystemCodeNumber,BaselinePrice
2016-10-04 07:59:00,BHMBCCMKT01,10.158578856152513
2016-10-04 08:25:00,BHMBCCMKT01,10.166377816291162
2016-10-04 08:59:00,BHMBCCMKT01,10.207972270363951
2016-10-04 09:32:00,BHMBCCMKT01,10.278162911611785
2016-10-04 09:59:00,BHMBCCMKT01,10.389948006932409
2016-10-04 10:26:00,BHMBCCMKT01,10.460138648180243
2016-10-04 10:59:00,BHMBCCMKT01,10.569324090121317
2016-10-04 11:25:00,BHMBCCMKT01,10.6421143847487
2016-10-04 11:59:00,BHMBCCMKT01,10.673310225303293
2016-10-04 12:29:00,BHMBCCMKT01,10.691507798960139
2016-10-04 13:02:00,BHMBCCMKT01,10.699306759098787
2016-10-04 13:29:00,BHMBCCMKT01,10.68370883882149
2016-10-04 14:02:00,BHMBCCMKT01,10.618717504332755
2016-10-04 14:29:00,BHMBCCMKT01,10.55892547660312
2016-10-04 14:57:00,BHMBCCMKT01,10.499133448873483
2016-10-04 15:30:00,BHMBCCMKT01,10.42894280762565
2016-10-04 16:04:00,BHMBCCMKT01,10.421143847487002
2016-10-04 16:31:00,BHMBCCMKT01,10.371750433275563
2016-10-05 07:57:00,BHMBCCMKT01,10.140381282495667
2016-10-05 08:30:00,BHMBCCMKT01,10.153379549393414
2016-10-05 09:04:00,BHMBCCMKT01,10.184575389948007
2016-10-05 09:30:00,BHMBCCMKT01,10.2157712305026
2016-10-05 10:04:00,BHMBCCMKT01,10.29636048526863
2016-10-05 10:30:00,BHMBCCMKT01,10.332755632582323
2016-10-05 11:04:00,BHMBCCMKT01,10.38474870017331
2016-10-05 11:30:00,BHMBCCMKT01,10.421143847487002
2016-10-05 12:04:00,BHMBCCMKT01,10.462738301559792
2016-10-05 12:30:00,BHMBCCMKT01,10.475736568457538
2016-10-05 12:57:00,BHMBCCMKT01,10.454939341421143
2016-10-05 13:30:00,BHMBCCMKT01,10.465337954939342
2016-10-05 13:57:00,BHMBCCMKT01,10.452339688041594
2016-10-05 14:30:00,BHMBCCMKT01,10.410745233968804
2016-10-05 14:57:00,BHMBCCMKT01,10.376949740034663
2016-10-05 15:30:00,BHMBCCMKT01,10.335355285961871
2016-10-05 16:04:00,BHMBCCMKT01,10.314558058925476
2016-10-05 16:30:00,BHMBCCMKT01,10.29636048526863
2016-10-06 07:57:00,BHMBCCMKT01,10.150779896013864
2016-10-06 08:30:00,BHMBCCMKT01,10.163778162911612
2016-10-06 08:57:00,BHMBCCMKT01,10.181975736568457
2016-10-06 09:30:00,BHMBCCMKT01,10.246967071057192
2016-10-06 10:03:00,BHMBCCMKT01,10.350953206239168
2016-10-06 10:30:00,BHMBCCMKT01,10.415944540727903
2016-10-06 10:57:00,BHMBCCMKT01,10.460138648180243
2016-10-06 11:30:00,BHMBCCMKT01,10.496533795493933
2016-10-06 12:04:00,BHMBCCMKT01,10.51733102253033
2016-10-06 12:30:00,BHMBCCMKT01,10.535528596187175
2016-10-06 12:57:00,BHMBCCMKT01,10.51473136915078
2016-10-06 13:30:00,BHMBCCMKT01,10.540727902946275
2016-10-06 13:57:00,BHMBCCMKT01,10.51993067590988
2016-10-06 14:30:00,BHMBCCMKT01,10.454939341421143
